client_id,first_name,last_name,email,phone,client_type,preferred_city,budget,signup_date,is_active
23,Melanie,Martinez,christinestewart@example.com,+1-976-276-3346,buyer,long beach,"$870,266.08",09/04/2025,False
24,mario,bowers,mmoore@example.net,501.478.4512,Buyer,san diego,"$499,171",04/17/2025,true
25,TRACY,MOORE,elizabethcook@example.org,,Renter,sacramento,"$3,943,820",11/15/2024,False
26,Bryan,Jackson,usandoval@example.com,700-443-4168,Renter,san jose,,11-04-2025,True
27,Danielle,Garner,johnflowers@example.net,(052) 084-5019,Seller,OAKLAND,2528758.54,04/27/2024,false
28,Alexa,Acevedo,denisecooper@example.org,(467) 229-1128,Both,SAN DIEGO,"$3,160,260.97",07-10-2025,false
29,tracie,hernandez,jadethompson@example.com,,Both,la,4496101.47,11/12/2023,false
30,Anna,Smith,ramosanna@example.com,789-064-1108,both,OAKLAND,"$550,958",2025-09-23,True
31,THOMAS,SUTTON,dallen@example.org,272-188-3274,Both,san francisco,,05/06/2026,true
32,Dawn,Hardy,deannacosta@example.com,+1-158-165-7134,Buyer,SAN JOSE,"$4,553,184.52",2026-06-05,1
33,andrea,carr,kimberlymitchell@example.org,143-059-3344,seller,san jose,,01/06/2026,True
34,eric,brown,,9338018438,seller,SACRAMENTO,2880975.6,06/10/2025,true
35,tabitha,smith,brian33@example.org,+1-150-666-2682,Renter,LOS ANGELES,4091755.75,08/20/2024,true
36,ROBIN,LARSON,rubioandrew@example.com,+1-648-818-0280,RENTER,fresno,"$374,952",05-02-2026,False
37,connie,aguirre,johnwatkins@example.net,320.361.8043,SELLER,OAKLAND,3179158.15,2024-02-09,True
38,mary,salazar,michelle34@example.net,,Renter,Bakersfield,"$3,541,783.41",2025-03-01,False
39,sean,patrick,robert04@example.com,426.975.9666,RENTER,fresno,"$2,254,084.08",04/12/2024,true
40,MADISON,WHITE,,+1-771-448-2791,BOTH,LOS ANGELES,3536248.52,02/26/2024,true
41,Luis,Mclaughlin,charris@example.org,,Renter,LONG BEACH,2602218.49,01/27/2026,true
42,Melissa,Moore,matthewschristopher@example.net,(559) 181-8398,Renter,SF,3162168.54,2024-04-10,0
43,John,Harper,michael17@example.org,723-714-8653,Seller,los angeles,4642833.15,2024-03-29,false
44,Jesse,Fry,gtate@example.net,,RENTER,San Diego,"$4,485,011.40",07/08/2024,0
45,JAMES,COOPER,llam@example.org,309.699.4427,Both,fresno,289054.09,31-07-2024,1
46,TAMMY,CARTER,wilsontimothy@example.org,,Buyer,fresno,3124413.1,2025-01-05,True
47,MICHELLE,HOFFMAN,anelson@example.com,+1-469-933-2631,SELLER,SAN JOSE,2613506.71,06/01/2025,0
48,Bradley,Kelly,bgrant@example.org,+1-066-860-8228,SELLER,Oakland,1650191.3,2026-05-29,true
49,kevin,hammond,morgan98@example.com,835-334-2832,RENTER,Long Beach,2632402.78,19-01-2025,True
50,DONNA,JOHNSTON,dennissteven@example.org,130.840.8562,Renter,SAN FRANCISCO,2813012.92,07/13/2024,true
51,samantha,mendoza,bradysanchez@example.net,486-352-5052,Seller,LOS ANGELES,"$3,449,257.73",11-02-2025,True
52,mary,glenn,aroberts@example.org,784.520.4727,BUYER,SAN JOSE,,06/28/2025,True
53,philip,white,walkerjoseph@example.org,6167363682,seller,SAN FRANCISCO,918096.17,2024-04-15,0
54,PATRICIA,HUMPHREY,morrisbelinda@example.com,3259691724,BUYER,LONG BEACH,257359.11,12-01-2026,True
55,Teresa,Perez,cynthiafriedman@example.com,422.324.8229,SELLER,SAN DIEGO,313710.29,31-03-2025,0
56,PEDRO,ROBINSON,nicolegutierrez@example.net,514-139-1798,SELLER,Oakland,"$2,129,583.16",06/14/2025,True
57,Paul,Summers,srobinson@example.net,,RENTER,Anaheim,2888822.92,10/19/2025,False
58,Susan,Smith,johnsonlaura@example.net,081-466-6622,seller,san jose,2935426.56,2024-11-15,True
59,shannon,shepard,karen06@example.com,,Both,san jose,"$2,118,543.68",10/11/2025,1
60,Tammy,Rivera,gsolis@example.com,270.728.6657,buyer,San Diego,,2025-11-22,0
61,Nicole,Mcguire,tylerblevins@example.org,2240083927,RENTER,la,"$909,362",13-10-2024,true
62,dawn,lopez,suttonmichael@example.net,383-323-6771,seller,SAN FRANCISCO,428250.77,2026-03-16,1
63,JODY,ROBERTS,luke88@example.net,,RENTER,OAKLAND,4517720.71,11/21/2025,True
64,Jacob,Simmons,coltonhebert@example.com,270-298-8715,buyer,SAN FRANCISCO,3603085.27,10/29/2025,0
65,CHELSEA,HERNANDEZ,cantuchase@example.net,+1-218-452-8451,Buyer,san francisco,"$2,498,172.09",2024-12-28,0
66,JAMES,WILLIAMS,annamorris@example.org,(478) 426-2982,RENTER,san diego,"$2,160,809",06-06-2025,0
67,STEPHANIE,JACKSON,markhardy@example.com,+1-474-026-1426,seller,Los Angeles,1917105.07,2024-08-27,false
68,Marcus,Harper,bhernandez@example.com,4477324176,renter,la,2378900.52,2024-02-18,0
69,MARY,JAMES,nataliesmith@example.org,416.170.0415,Seller,long beach,1542580.09,2024-01-17,False
70,danielle,page,dgonzalez@example.net,9683325656,renter,Oakland,3955962.89,13-07-2023,False
71,JESSICA,FROST,sandrarodriguez@example.net,+1-228-327-3726,Both,SAN FRANCISCO,,2024-08-25,1
72,RUSSELL,SANCHEZ,reednancy@example.net,,Both,Los Angeles,"$4,889,907",08/10/2023,false
73,JACOB,LOPEZ,leahcarroll@example.org,+1-743-745-4455,Both,san jose,154071.07,11/18/2023,True
74,edwin,yang,chelsey86@example.com,+1-913-591-2836,Both,oakland,3133547.29,2024-10-14,0
75,Carlos,Vargas,,+1-856-730-0015,both,Sacramento,3273800.48,2024-01-30,false
76,ROBERT,LYNCH,,5612620238,BUYER,san diego,1813773.07,03/03/2025,True
77,ELIZABETH,WILSON,tuckerashley@example.net,+1-733-958-6366,seller,San Diego,,11/06/2024,true
78,Trevor,Conley,probinson@example.com,+1-470-734-7500,RENTER,Fresno,"$4,993,139.65",2026-01-23,False
79,Justin,James,osoto@example.com,9682386391,BUYER,Sacramento,4361727.87,04-11-2025,false
80,jason,brown,taylor05@example.com,,Both,Los Angeles,3715241.63,26-02-2025,false
81,Leslie,Fisher,santosderrick@example.org,(818) 484-7024,Both,anaheim,,09/04/2025,False
82,Gary,Martin,gallagherrobert@example.org,9109106082,seller,SAN DIEGO,"$3,106,584",10-05-2024,true
83,clarence,humphrey,destiny23@example.net,2721008887,RENTER,anaheim,"$976,920",11/24/2025,false
84,Dennis,Ward,beancheryl@example.org,491-831-7179,both,sf,"$2,963,505.87",2023-11-30,True
85,CHRISTINA,ELLIOTT,mcampbell@example.com,,seller,Sacramento,2407617.82,26-12-2023,0
86,Nicholas,Hodges,laurajohnson@example.org,996.688.6554,BOTH,la,"$1,209,775",2025-04-26,false
87,Joanna,Black,gutierrezstacy@example.com,385-255-0969,seller,Bakersfield,,10/08/2025,1
88,ARTHUR,TAYLOR,ericksonnathan@example.net,096.023.4292,seller,anaheim,4803164.13,07/16/2023,0
89,Natalie,Bailey,daniel70@example.com,(086) 785-3996,BUYER,Oakland,2535691.6,2025-03-31,True
90,LAURIE,GARCIA,,0951299541,SELLER,SF,"$3,902,758",04/04/2024,True
91,SANDRA,SMITH,wallaceamy@example.org,177.898.6532,RENTER,san francisco,"$1,966,595",09/16/2023,false
92,BRETT,HENDRICKS,gayashley@example.org,,Buyer,SAN FRANCISCO,3134833.17,09-03-2024,True
93,DAVID,LEWIS,gardneralexis@example.net,,both,anaheim,,05-09-2024,false
94,JEREMIAH,MANNING,uschmidt@example.net,930.937.6434,renter,LONG BEACH,,07/14/2025,0
95,CAROLYN,HAWKINS,rvillarreal@example.org,+1-561-936-5166,Seller,LOS ANGELES,972959.05,11/16/2025,False
96,Michael,Malone,christopher07@example.net,,Both,SAN DIEGO,2166231.22,12/03/2023,false
97,michelle,willis,wernererica@example.com,+1-154-656-7260,Buyer,FRESNO,430849.15,2023-08-25,True
98,joel,rose,robinsonlori@example.net,5060953330,buyer,sf,783549.64,12-03-2025,True
99,LEAH,HUMPHREY,uglenn@example.com,,Buyer,Bakersfield,3777987.96,18-03-2024,1
100,Christine,Nash,michaelwood@example.net,285-243-2896,BOTH,SAN DIEGO,"$1,499,072.16",2026-05-14,1
101,mark,bowman,michele49@example.org,+1-611-565-0393,Seller,Los Angeles,1875354.35,16-10-2024,0
102,LISA,MARTIN,wallkristi@example.net,775.148.5565,BOTH,Long Beach,,02/06/2025,True
103,Robert,Harvey,gwaters@example.net,(931) 056-0031,buyer,sf,3336982.73,23-07-2023,False
104,MICHAEL,BOWMAN,tyler33@example.net,(959) 811-1629,Seller,San Francisco,,01-03-2026,False
105,ANDREW,MARSH,joel05@example.org,0076987200,renter,san diego,,2026-03-06,False
106,Charles,Curtis,,7383516237,BOTH,SAN FRANCISCO,"$4,877,599.00",2024-12-15,False
107,robert,patton,wpeterson@example.net,225-703-8192,BUYER,San Jose,1102544.89,2024-06-04,True
108,Shannon,Duffy,powerschristopher@example.net,(784) 770-2445,renter,los angeles,,07-11-2023,True
109,travis,meyers,christinabell@example.com,8973397261,buyer,San Francisco,855798.12,06/01/2026,True
110,Dalton,Wilson,timothy96@example.org,177.718.7122,RENTER,la,,16-09-2025,True
111,james,stanley,jerryfowler@example.org,+1-832-231-1826,SELLER,Los Angeles,,23-12-2025,True
112,Bobby,Harris,hoganjenny@example.com,(831) 527-6242,both,San Francisco,4134483.82,25-04-2026,true
113,madison,vasquez,garciaderek@example.net,084-900-3364,SELLER,SAN DIEGO,"$3,757,421.27",18-09-2025,True
114,Cindy,Daniels,aharrison@example.com,464-874-0222,RENTER,sacramento,4142564.06,11/07/2023,False
115,Nicholas,Osborne,kellycharlotte@example.org,343.633.5691,Seller,Oakland,3065137.87,09/23/2024,true
116,robert,lowe,swilson@example.net,,Buyer,Anaheim,3104150.3,2025-03-20,True
117,john,frazier,scott70@example.org,+1-463-907-6600,BUYER,San Jose,"$2,476,341",20-04-2025,0
118,Matthew,Velazquez,ramirezdebra@example.net,932.957.9119,SELLER,Anaheim,"$2,794,562",11/24/2023,true
119,LISA,STONE,lcooper@example.org,,Seller,Anaheim,1926498.98,08/07/2023,0
120,Joseph,Lewis,meagancherry@example.com,2138143420,both,ANAHEIM,"$3,910,330.25",17-05-2024,True
121,David,Martin,leecolton@example.com,3677994296,SELLER,ANAHEIM,"$153,311.59",2024-08-30,False
122,samuel,oconnell,coopernicholas@example.org,4743780893,Both,long beach,"$1,352,635.95",03/06/2026,True
123,CINDY,PEREZ,merceranthony@example.net,,Renter,San Diego,,06/01/2026,false
124,Kathryn,Robinson,andrewfrank@example.net,3543675227,both,OAKLAND,3506347.22,08-01-2024,0
125,brandon,martinez,rwinters@example.org,,buyer,fresno,,04/02/2026,True
126,Scott,Perry,,,buyer,SAN JOSE,"$264,751.19",03-07-2024,False
127,sara,sanchez,vcurtis@example.org,,renter,Long Beach,"$3,874,811",01/05/2026,True
128,Michael,Hoover,reevesholly@example.org,270.405.3244,renter,Fresno,"$2,143,101.96",09/24/2025,true
129,Jennifer,Ortiz,stacy30@example.com,842-669-8919,renter,long beach,3730288.48,16-12-2025,False
130,Kenneth,Cantu,rking@example.com,+1-454-770-5748,BUYER,FRESNO,"$4,530,777",03/07/2025,0
131,susan,downs,christian93@example.net,065.199.8548,BUYER,SAN DIEGO,4644163.63,25-04-2024,False
132,BENJAMIN,PEARSON,greencarol@example.net,4824095199,buyer,fresno,,21-09-2023,true
133,Abigail,Wilson,robinsonrussell@example.org,294.733.8608,BUYER,BAKERSFIELD,,09/21/2024,True
134,JOHN,FREEMAN,emilyfoster@example.com,286.457.9442,buyer,San Francisco,"$1,947,909.22",2024-03-18,True
135,tiffany,daniels,nicholasward@example.org,,buyer,SAN DIEGO,"$208,697.85",01-05-2024,False
136,jay,herring,anoble@example.com,(400) 390-5930,Both,Oakland,"$3,453,588",2024-02-25,False
137,Edward,Miller,heather99@example.net,,seller,anaheim,4684895.64,15-01-2024,False
138,james,simpson,latoyahinton@example.com,796.437.9601,buyer,SAN DIEGO,"$945,038",12/12/2025,False
139,Julie,Rosario,tammycastaneda@example.net,,Renter,San Jose,"$4,137,293.99",2026-03-28,True
140,grace,peterson,lshepherd@example.net,561.587.7208,buyer,San Francisco,,16-07-2023,true
141,TAMARA,ANDERSON,eschwartz@example.org,993.035.1116,both,Fresno,"$3,452,652",09-04-2025,0
142,john,foster,kellysmith@example.net,800.122.9536,renter,San Francisco,,24-02-2025,1
143,Jessica,Sanchez,,(695) 486-7394,seller,Bakersfield,,03/02/2025,True
144,connie,wheeler,taylorbrian@example.com,(044) 182-7330,SELLER,FRESNO,"$801,641.11",01/27/2024,1
145,Kevin,Price,myerslaura@example.org,157-342-1854,BUYER,ANAHEIM,4209402.65,2026-01-25,true
146,alexandra,bishop,susan29@example.com,,buyer,oakland,405363.75,14-10-2023,True
147,PHILLIP,ANDERSON,cooperelizabeth@example.com,(993) 450-6467,buyer,Long Beach,"$870,908.84",2024-11-15,True
148,Larry,Mccormick,reyeskenneth@example.com,304.650.8046,RENTER,Sacramento,657461.76,12/28/2024,True
149,Victoria,Moreno,jonathonwilliams@example.net,(123) 292-4610,Buyer,Long Beach,1720973.38,2025-01-21,False
150,SANDRA,COX,lanehannah@example.org,3957946980,Buyer,Long Beach,4522820.19,2026-01-19,False
151,TERESA,WILLIAMS,berryshane@example.net,894-630-7629,Renter,San Jose,,03/24/2024,False
152,kenneth,taylor,colemanjanet@example.com,661-101-5875,buyer,LOS ANGELES,,2026-02-04,0
153,Timothy,Mills,rileyangelica@example.com,352.140.3820,Renter,SACRAMENTO,"$2,598,426.11",25-09-2025,true
154,AMY,RIVERA,kevin27@example.com,3051098719,BUYER,sacramento,"$4,098,859",22-08-2023,False
155,Dana,Gonzales,timothy04@example.net,,BOTH,Fresno,"$4,122,307.05",15-05-2026,True
156,alexandra,franco,robertcooper@example.com,(957) 836-6687,Both,Oakland,"$308,223",2023-09-17,false
157,selena,richards,amy94@example.com,,RENTER,LOS ANGELES,,07/01/2024,True
158,Adam,Shaffer,,,seller,oakland,3316543.78,26-08-2025,0
159,rodney,cochran,patricia28@example.net,692-279-5389,both,SACRAMENTO,"$1,896,180.35",2025-05-06,True
160,JAMES,FISHER,annawu@example.com,7150384481,SELLER,oakland,1397443.66,05/01/2024,true
161,APRIL,NORMAN,ronaldscott@example.net,+1-361-304-3788,Buyer,Sacramento,"$3,814,865.22",2024-11-13,1
162,Darryl,Curry,,(242) 523-8113,seller,SF,3585360.35,01-04-2025,1
163,Thomas,Alexander,sdonovan@example.org,017.535.1699,Buyer,San Francisco,"$4,667,838.87",08/18/2023,false
164,Heather,Hunt,benjamin93@example.org,126-090-5188,SELLER,anaheim,"$1,459,812.91",2026-01-19,true
165,WESLEY,PRINCE,kelly22@example.com,565.430.6095,renter,san francisco,"$2,819,717",05/06/2025,1
166,Gary,Boyd,wmartinez@example.net,108.669.8424,both,Long Beach,3024060.12,27-08-2023,true
167,John,Bradford,deborahhenry@example.org,,SELLER,sacramento,"$2,966,981.98",20-11-2025,False
168,traci,fox,carolhudson@example.net,+1-689-374-0969,BOTH,San Francisco,"$248,819",03-09-2025,false
169,linda,brown,glee@example.org,721-442-6836,SELLER,sacramento,531475.3,05/16/2026,False
170,Samuel,Henderson,whitakerjohn@example.net,,Renter,Bakersfield,,02/27/2026,false
171,ELIZABETH,HOBBS,dhall@example.com,9996446502,RENTER,san diego,4027209.67,02-10-2025,False
172,vickie,young,,(620) 551-5467,Both,san jose,,2024-06-29,True
173,MICHELLE,LE,derek91@example.net,370-088-9372,seller,sacramento,"$2,425,770.92",11-09-2024,false
174,vincent,fernandez,valdezheather@example.org,+1-270-988-6918,BOTH,Anaheim,"$2,188,966.06",04-10-2023,True
175,Brenda,Carter,tyler84@example.net,768.091.5886,BUYER,Oakland,"$3,076,085.22",02-07-2024,True
176,PAULA,BENNETT,abigail02@example.com,,BUYER,san diego,2718983.19,27-08-2024,False
177,Lance,Collins,htaylor@example.org,(448) 543-1786,SELLER,SACRAMENTO,"$302,423",2023-07-20,true
178,THERESA,LEWIS,garrett16@example.net,8892143436,Both,San Diego,3898278.77,10/28/2024,0
179,KENNETH,ESTRADA,rmartinez@example.net,(004) 207-7881,buyer,SACRAMENTO,,2025-10-20,false
180,edward,lopez,richardscassie@example.org,,Both,long beach,,2026-06-21,True
181,Scott,Palmer,joshua68@example.org,,Buyer,Long Beach,"$3,531,890.70",13-06-2026,false
182,denise,johnson,ymoore@example.net,+1-607-414-9282,buyer,los angeles,,12/14/2024,False
183,ELIZABETH,GARCIA,coconnor@example.net,(825) 614-2601,Both,LONG BEACH,288224.75,06/06/2026,False
184,Jeffrey,Webster,davidrodriguez@example.org,5087516180,SELLER,sacramento,,01/04/2026,true
185,dawn,pittman,cynthiafitzgerald@example.com,(721) 807-6354,renter,san jose,,09/28/2025,False
186,CRYSTAL,VASQUEZ,kevin43@example.com,9192404665,buyer,LOS ANGELES,"$2,172,480",02/11/2025,True
187,MEGAN,FIGUEROA,marshallcory@example.com,,Renter,SAN JOSE,"$1,887,550.67",10-02-2024,0
188,Natalie,Carroll,richard64@example.org,399-697-9123,RENTER,San Jose,,2026-01-08,True
189,brianna,blevins,kimorozco@example.org,757.582.1296,RENTER,SAN FRANCISCO,1268822.05,2023-08-30,False
190,evan,hall,alexandria41@example.com,024-726-7733,Both,Fresno,1765108.78,04/20/2026,False
191,Sara,Montgomery,,+1-451-166-2349,BOTH,Oakland,"$2,141,620.78",2026-03-12,False
192,Anthony,Simpson,myersshelly@example.com,1633900689,Seller,sacramento,2107364.41,08-05-2026,1
193,YVONNE,HARRIS,karenprince@example.com,6075301571,BOTH,ANAHEIM,2466155.47,04/01/2024,False
194,catherine,meadows,andrew06@example.net,(662) 361-9622,Seller,San Francisco,"$2,663,172",03/24/2026,True
195,Amanda,Henderson,gabriel36@example.net,892.349.5099,renter,fresno,,01-11-2023,1
196,TASHA,GARNER,hgreen@example.org,(573) 007-2405,BUYER,Bakersfield,,2025-12-31,1
197,Jose,Curtis,emily99@example.net,,both,los angeles,2959231.88,2026-06-06,True
198,NICOLE,HERNANDEZ,wadejessica@example.net,445.372.5109,buyer,SAN JOSE,3476797.09,28-12-2024,true
199,Andrew,Jenkins,jeremygonzalez@example.net,(367) 492-0913,SELLER,Los Angeles,,02/01/2026,false
200,daniel,ortega,woodwardthomas@example.net,7290003031,Seller,BAKERSFIELD,4123413.39,31-08-2025,True
201,Joseph,Montgomery,traceynelson@example.com,401-846-5086,both,san francisco,"$2,222,576.42",2025-10-17,true
202,christina,simpson,robertsonmarcus@example.com,,BOTH,SAN JOSE,"$2,799,092.77",10/18/2024,false
203,BENJAMIN,MARTINEZ,patrick56@example.org,992-984-7246,both,san diego,1329262.15,2025-07-04,true
204,Amy,Long,marshalljason@example.org,+1-424-339-9024,BUYER,FRESNO,3351571.64,2025-11-25,true
205,Sarah,Vincent,jose51@example.net,,Buyer,los angeles,"$4,871,275.43",02/04/2024,true
206,Steven,Johnson,fberry@example.com,,both,BAKERSFIELD,,2026-01-11,true
207,TIMOTHY,PERRY,pcastillo@example.net,5360390049,seller,los angeles,1917949.73,02-11-2025,False
208,TROY,DAVIS,jacqueline47@example.org,8086764276,renter,long beach,"$3,955,122",09/10/2023,0
209,EMILY,HAWKINS,kimberlytapia@example.org,917.025.3840,renter,LOS ANGELES,"$856,155.31",26-07-2025,True
210,Sarah,Moon,patriciajones@example.com,+1-311-264-0457,BUYER,anaheim,"$2,548,555",10/08/2025,0
211,Thomas,Johnson,jpark@example.org,0576763460,buyer,SACRAMENTO,1694072.06,2023-10-30,0
212,david,forbes,vmorales@example.org,(804) 249-8765,BUYER,oakland,342569.67,2025-12-02,True
213,denise,daniel,wtaylor@example.org,+1-731-185-0607,BUYER,los angeles,"$1,106,658.87",04/01/2026,1
214,kelly,garza,beth61@example.org,525-855-6895,Both,Anaheim,2747442.61,11/01/2024,1
215,Monica,Luna,rshort@example.net,3966944690,seller,BAKERSFIELD,2634487.64,12/07/2025,1
216,dawn,fisher,rogerpitts@example.org,,SELLER,Oakland,"$3,359,565.33",2024-12-24,True
217,MICHAEL,HUYNH,,737.105.6836,RENTER,anaheim,"$1,552,549",2023-10-16,1
218,nancy,bailey,greencraig@example.org,605-163-7828,buyer,Long Beach,"$4,452,658.86",20-06-2024,False
219,GREGORY,LUTZ,maddentimothy@example.com,,seller,Los Angeles,"$3,315,261.09",19-03-2026,False
220,MARY,MCMAHON,danielhull@example.net,(156) 068-3167,BOTH,SAN DIEGO,"$4,735,477.09",08/17/2023,False
221,PETER,MEJIA,drichards@example.net,,renter,los angeles,"$807,109",2025-01-21,true
222,Jonathan,Velasquez,pcox@example.org,+1-974-288-2328,SELLER,San Diego,3878799.75,2025-02-22,True
223,nicholas,carlson,janetfrench@example.org,670-398-6470,both,San Jose,1583333.98,07/31/2024,True
224,james,smith,juliagraham@example.com,+1-662-964-7167,seller,ANAHEIM,3806597.67,06/19/2026,0
225,Tyler,Hall,rodriguezbill@example.com,7303881460,BOTH,SAN JOSE,2325997.21,2025-12-05,True
226,MICHAEL,BAILEY,gomezangela@example.com,,seller,los angeles,3299402.64,05/05/2024,false
227,jamie,colon,htran@example.org,(737) 355-6867,BOTH,sacramento,1739030.53,2026-05-13,False
228,GREGORY,STEWART,bwall@example.com,712.636.2749,buyer,OAKLAND,484333.91,02/21/2026,False
229,LAURA,BEAN,erinboyd@example.com,(604) 038-0219,Both,SF,443389.58,20-03-2025,False
230,linda,pearson,,(105) 620-6162,buyer,fresno,,05/10/2024,True
231,kelli,hall,,,seller,Los Angeles,274278.04,2025-03-25,False
232,Valerie,Ferguson,rdorsey@example.net,(594) 768-7902,BOTH,ANAHEIM,"$2,379,855",2025-06-25,0
233,VICTOR,JONES,shannonharding@example.com,(680) 918-9916,BOTH,san jose,,20-03-2025,True
234,KAREN,MEDINA,alexandragonzalez@example.org,706.871.3118,Seller,anaheim,3924519.66,2024-02-12,1
235,peter,thompson,danagarcia@example.org,082-050-8092,SELLER,Long Beach,3500633.67,2023-12-19,False
236,gavin,moore,msanders@example.net,4454098494,Seller,Anaheim,1336578.88,04/29/2026,true
237,steven,alvarado,,+1-943-808-1628,both,la,,09/25/2023,true
238,yolanda,chambers,sophiachapman@example.org,452.437.6910,Buyer,SAN FRANCISCO,2913930.9,25-04-2025,true
239,Dawn,Nguyen,tim82@example.net,+1-972-097-6147,RENTER,SACRAMENTO,3384613.93,03/14/2024,1
240,DIANE,STEVENS,martinbush@example.net,+1-708-415-7442,BUYER,Long Beach,,2024-04-21,0
241,natalie,avila,xrobles@example.org,+1-671-434-9873,Buyer,San Diego,,01/20/2026,True
242,BRYAN,SMITH,lindalucas@example.net,,BOTH,SAN DIEGO,"$4,727,110",03/01/2025,1
243,SAMANTHA,TAYLOR,michael23@example.org,9732688850,renter,fresno,4832393.28,11-05-2025,True
244,jennifer,ramirez,erikaray@example.net,(585) 420-4092,SELLER,Fresno,"$1,209,269",07-04-2024,True
245,sandra,davidson,herrerahannah@example.net,(656) 901-6155,buyer,San Jose,,21-05-2024,false
246,joshua,martin,,+1-010-356-6881,BUYER,san francisco,"$2,582,432.26",17-07-2023,true
247,Charles,Graham,torreskimberly@example.com,728.341.8208,Renter,los angeles,"$1,409,197",27-12-2025,false
248,Lori,Jordan,jsnow@example.com,822.597.4178,Both,SAN DIEGO,,2024-07-31,True
249,JOSEPH,SPARKS,eric31@example.org,,Renter,san francisco,,02-04-2026,false
250,Austin,Rogers,carrollanthony@example.com,3779528422,Seller,Sacramento,1617393.58,02-08-2024,True
251,marcus,holloway,whitakerjeffrey@example.org,,Buyer,Oakland,,25-08-2025,true
252,ANA,MILLS,thomashahn@example.net,584.479.4695,SELLER,sf,"$434,143",2024-07-15,False
253,Chad,Flowers,tyoung@example.org,406-854-2579,both,FRESNO,2237281.2,15-08-2023,0
254,kayla,glover,marklynch@example.org,1821770280,Both,San Jose,,2024-10-06,0
255,Laura,Hernandez,stephensonsuzanne@example.org,5231262343,SELLER,LONG BEACH,"$2,145,781",11/04/2023,True
256,jacqueline,mitchell,brettwilkinson@example.com,035.921.0061,both,SF,4222932.14,01-01-2026,True
257,mark,orr,cschneider@example.com,+1-635-529-2338,Renter,SAN DIEGO,3676876.83,08/19/2024,1
258,Anna,Davis,iansoto@example.org,827.088.9539,RENTER,sf,"$2,110,399.37",26-02-2024,1
259,Brittney,Bailey,morrisangela@example.net,+1-349-811-2674,SELLER,fresno,2811885.4,02/16/2024,1
260,BRITTANY,TREVINO,franklinwilliam@example.org,655-138-1140,Seller,FRESNO,"$2,995,240",2025-03-19,true
261,CARRIE,TRAVIS,lovejennifer@example.net,+1-519-752-3383,Both,SAN DIEGO,3558829.67,05-06-2026,true
262,Jesse,Barton,fbaker@example.com,+1-950-527-1866,both,Los Angeles,1698916.63,10-07-2023,False
263,Dawn,Moore,twilson@example.org,+1-201-098-8618,both,oakland,3837937.76,03/19/2026,True
264,Joseph,Jones,jeffrey42@example.net,,Seller,la,"$1,188,337.85",2024-05-29,false
265,brittney,lopez,rcook@example.net,619.239.9328,BUYER,ANAHEIM,"$141,950.62",15-12-2025,False
266,Angelica,Byrd,ronald81@example.net,4883916236,Seller,Long Beach,,09/24/2024,0
267,LAWRENCE,BARRY,erin63@example.com,969.344.2284,seller,long beach,"$3,857,579.84",2026-05-08,false
